x,ywnoise
1,1.17647526979
2,1.03973162032
3,4.65868090839
4,3.75925567348
5,3.26067625239
6,5.82489314171
7,5.4537858938
8,8.9557351013
9,8.72639042782
10,10.7426712256
11,11.2365366506
12,13.4763854008
13,14.2202853038
14,12.2988729715
15,14.8967197814
16,15.1847818454
17,18.4033385064
18,19.6509844037
19,19.5875011774
20,20.4032096286
21,21.2381174804
22,23.1248965081
23,24.1166836751
24,24.9931452552
25,23.1506127917
26,26.9035874886
27,26.7709993799
28,26.180879587
29,29.0261414354
30,28.613174343
